"Date","Price","Open","High","Low","Vol.","Change %"
"02/18/2025","69.90","69.35","70.10","69.10","149.40K","0.94%"
"02/17/2025","69.25","68.65","69.45","68.65","80.05K","0.87%"
"02/14/2025","68.65","69.25","69.30","68.50","129.22K","-0.94%"
"02/13/2025","69.30","69.85","70.10","69.20","95.81K","-0.07%"
"02/12/2025","69.35","69.20","69.75","69.00","121.64K","0.51%"
"02/11/2025","69.00","68.70","69.25","68.60","69.76K","0.15%"
"02/10/2025","68.90","68.65","69.00","68.40","84.16K","1.03%"
"02/07/2025","68.20","68.50","68.80","68.20","80.71K","-0.29%"
"02/06/2025","68.40","67.90","68.55","67.35","106.25K","1.56%"
"02/05/2025","67.35","67.10","67.60","66.80","119.56K","0.30%"
"02/04/2025","67.15","68.20","69.00","66.30","201.84K","0.00%"
"02/03/2025","67.15","66.30","67.15","66.00","161.53K","-1.25%"
"01/31/2025","68.00","68.15","68.50","67.50","137.30K","-0.15%"
"01/30/2025","68.10","66.80","68.35","66.70","96.92K","2.64%"
"01/29/2025","66.35","66.80","67.05","66.25","80.20K","-0.15%"
"01/28/2025","66.45","66.35","66.75","66.20","77.28K","0.30%"
"01/27/2025","66.25","65.00","66.60","65.00","122.61K","0.91%"
"01/24/2025","65.65","66.35","66.70","65.60","145.40K","-0.76%"
"01/23/2025","66.15","65.90","66.15","65.10","124.79K","0.46%"
"01/22/2025","65.85","65.75","66.05","65.20","107.28K","0.77%"
"01/21/2025","65.35","65.80","66.10","65.10","207.66K","-1.06%"
"01/20/2025","66.05","65.90","66.20","65.40","113.95K","0.53%"